Contract Classification EN,Contract Classification TH,Type of Contract EN,Type of Contract TH,Sub Type of Contract EN,Sub Type of Contract TH,Type Sort Order,Sub Type Sort Order,Standard SLA
Day-to-day Work,งานดำเนินงานทั่วไป,Lease & Rental Agreement,สัญญาเช่าและให้เช่า,Lease Agreement,สัญญาเช่า,1,1,70
Day-to-day Work,งานดำเนินงานทั่วไป,Lease & Rental Agreement,สัญญาเช่าและให้เช่า,Sub Lease Agreement,สัญญาเช่าช่วง,1,2,45
Day-to-day Work,งานดำเนินงานทั่วไป,Lease & Rental Agreement,สัญญาเช่าและให้เช่า,Lease Asset Agreement,สัญญาเช่าทรัพย์สิน,1,3,30
Day-to-day Work,งานดำเนินงานทั่วไป,Lease & Rental Agreement,สัญญาเช่าและให้เช่า,Rental Agreement,สัญญาเช่าทั่วไป,1,4,40
Day-to-day Work,งานดำเนินงานทั่วไป,Service Agreement,สัญญาให้บริการ,,,2,0,75
Day-to-day Work,งานดำเนินงานทั่วไป,Amendment Agreement,สัญญาแก้ไขเพิ่มเติม,,,3,0,35
Day-to-day Work,งานดำเนินงานทั่วไป,Sale and Purchase Agreement,สัญญาซื้อขาย,,,4,0,35
Day-to-day Work,งานดำเนินงานทั่วไป,Service Provider Agreement,สัญญาผู้ให้บริการ,,,5,0,40
Day-to-day Work,งานดำเนินงานทั่วไป,Commercial Agreement,สัญญาทางธุรกิจ,Consultancy Agreement,สัญญาให้คำปรึกษา,6,1,65
Day-to-day Work,งานดำเนินงานทั่วไป,Commercial Agreement,สัญญาทางธุรกิจ,Confidentiality Agreement,สัญญารักษาความลับ,6,2,30
Day-to-day Work,งานดำเนินงานทั่วไป,Others,อื่น ๆ,,,99,0,
Confidential,สัญญาลับ,Preliminary Agreement,ข้อตกลงเบื้องต้น,Memorandum of Understanding,บันทึกความเข้าใจ,1,1,
Confidential,สัญญาลับ,Preliminary Agreement,ข้อตกลงเบื้องต้น,Term Sheet,เอกสารสรุปเงื่อนไขเบื้องต้น,1,2,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Consultancy Agreement,สัญญาให้คำปรึกษา,2,1,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Confidentiality Agreement,สัญญารักษาความลับ,2,2,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Management Agreement,สัญญาบริหารจัดการ,2,3,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Loan Agreement,สัญญาเงินกู้,2,4,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Mergers and Acquisitions Agreement,สัญญาการควบรวมและซื้อกิจการ,2,5,
Confidential,สัญญาลับ,Commercial Agreement,สัญญาทางธุรกิจ,Shareholders’ Agreement,สัญญาระหว่างผู้ถือหุ้น,2,6,
Confidential,สัญญาลับ,,,Others,อื่น ๆ,99,0,
